_date,total_clones,unique_clones
2022-03-16,8,7
2022-03-21,2,2
2022-03-28,3,3
2022-04-03,2,1
2022-04-04,2,2
2022-04-11,2,2
2022-04-18,2,2
2022-04-25,5,5
2022-05-02,2,2
2022-05-09,4,4
2022-05-16,3,3
2022-05-21,2,1
2022-05-22,1,1
2022-05-23,4,4
2022-05-28,2,1
2022-05-30,4,3
2022-06-02,2,1
2022-06-06,4,4
2022-06-11,2,1
2022-06-13,3,2
2022-06-20,2,2
2022-06-26,2,1
2022-06-27,2,2
2022-07-04,2,2
2022-07-05,2,1
2022-07-11,4,4
2022-07-13,2,1
2022-07-14,1,1
2022-07-18,2,2
2022-07-22,2,1
2022-07-24,1,1
2022-07-25,2,2
2022-07-31,2,1
2022-08-01,4,4
2022-08-02,1,1
2022-08-08,3,2
2022-08-09,2,1
2022-08-10,1,1
2022-08-15,2,2
2022-08-19,2,1
2022-08-22,1,1
2022-08-27,1,1
2022-08-29,2,2
2022-08-30,2,1
2022-09-05,1,1
2022-09-10,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-19,1,1
2022-09-24,1,1
2022-09-26,2,2
2022-10-03,3,3
2022-10-04,1,1
2022-10-10,3,3
2022-10-16,1,1
